Province/State,Country/Region,Lat,Long,ISO 3166-1 Alpha 3-Codes,Sub-region Name,Intermediate Region Code,Date,Deaths,Cases,Recovered,Hospitalised
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,20/11/2020,48,1080,869,1203
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,18/02/2021,13,1928,1628,1204
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,22/04/2020,1,11,4,1205
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,22/11/2020,48,1094,887,1208
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,23/02/2021,2,431,403,1209
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,03/03/2021,0,18,18,1210
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,09/11/2020,0,13,13,1211
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,16/11/2020,48,1046,816,1212
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,16/02/2021,12,695,679,1213
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,30/04/2020,0,13,11,1213
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,07/04/2020,2,39,17,1214
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,14/04/2021,94,4290,4181,287
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,16/12/2020,6,772,741,1214
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,29/10/2020,0,3,3,1216
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,12/05/2020,0,3,3,1217
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,13/11/2020,1,253,236,1218
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,30/03/2020,0,2,0,1220
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,24/11/2020,48,1124,937,1220
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,17/11/2020,48,1046,818,1221
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,GBR,Northern Europe,0,10/02/2021,0,4,4,1221
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,14/11/2020,1,254,240,1222
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,19/11/2020,48,1079,869,1222
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,16/04/2020,5,81,33,1223
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,29/11/2020,2,274,252,1223
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,01/12/2020,2,285,254,1223
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,15/04/2021,94,4290,4181,274
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,18/11/2020,48,1068,852,1224
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,09/12/2020,2,292,266,1225
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,04/04/2020,5,262,13,1225
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,05/04/2020,1,5,0,1226
Isle of Man,United Kingdom,54.2361,-4.5481,IMN,Northern Europe,0,01/04/2020,1,68,0,1227
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,13/12/2020,48,2068,1291,1228
